"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000228395","AL356481.1","ENSG00000228395.1"
"2","ENSG00000247950","SEC24B-AS1","ENSG00000247950.5"
"3","ENSG00000250539","KRT8P33","ENSG00000250539.1"
"4","ENSG00000279434","AL049776.1","ENSG00000279434.1"
"5","ENSG00000267277","AC024575.1","ENSG00000267277.1"
"6","ENSG00000269318","AC007292.2","ENSG00000269318.1"
"7","ENSG00000244513","AC109587.1","ENSG00000244513.5"
"8","ENSG00000207383","Y_RNA","ENSG00000207383.1"
"9","ENSG00000164037","SLC9B1","ENSG00000164037.15"
"10","ENSG00000231234","SKP1P1","ENSG00000231234.2"
"11","ENSG00000161939","RNASEK-C17orf49","ENSG00000161939.17"
"12","ENSG00000260669","AL096870.2","ENSG00000260669.2"
"13","ENSG00000279464","AC096720.2","ENSG00000279464.1"
"14","ENSG00000276517","AL133243.3","ENSG00000276517.1"
"15","ENSG00000263766","AC025682.1","ENSG00000263766.4"
"16","ENSG00000269940","AL049840.5","ENSG00000269940.1"
"17","ENSG00000271828","AC008937.3","ENSG00000271828.1"
"18","ENSG00000196873","CBWD3","ENSG00000196873.14"
"19","ENSG00000241506","PSMC1P1","ENSG00000241506.1"
"20","ENSG00000128886","ELL3","ENSG00000128886.10"
"21","ENSG00000225793","TMEM30A-DT","ENSG00000225793.2"
"22","ENSG00000235084","CHCHD2P6","ENSG00000235084.3"
"23","ENSG00000111215","PRR4","ENSG00000111215.10"
"24","ENSG00000270049","AC009061.2","ENSG00000270049.1"
"25","ENSG00000231177","LINC00852","ENSG00000231177.4"
"26","ENSG00000251495","PPIAP11","ENSG00000251495.1"
"27","ENSG00000180764","PIPSL","ENSG00000180764.13"
"28","ENSG00000223825","DAZAP2P1","ENSG00000223825.5"
"29","ENSG00000171757","LRRC34","ENSG00000171757.14"
"30","ENSG00000250859","HNRNPKP1","ENSG00000250859.1"
"31","ENSG00000129749","CHRNA10","ENSG00000129749.3"
"32","ENSG00000235316","DUSP8P5","ENSG00000235316.1"
"33","ENSG00000150773","PIH1D2","ENSG00000150773.9"
"34","ENSG00000272807","AC007038.1","ENSG00000272807.1"
"35","ENSG00000272040","AC010245.2","ENSG00000272040.1"
"36","ENSG00000261067","AC109460.3","ENSG00000261067.5"
"37","ENSG00000128346","C22orf23","ENSG00000128346.9"
"38","ENSG00000267064","UXT-AS1","ENSG00000267064.1"
"39","ENSG00000255139","AP000442.1","ENSG00000255139.1"
"40","ENSG00000182057","OGFRP1","ENSG00000182057.4"
"41","ENSG00000270060","AC090589.3","ENSG00000270060.1"
"42","ENSG00000231043","AC007238.1","ENSG00000231043.3"
"43","ENSG00000273188","AL022328.3","ENSG00000273188.1"
"44","ENSG00000186919","ZACN","ENSG00000186919.11"
"45","ENSG00000224975","INE1","ENSG00000224975.1"
"46","ENSG00000250474","WBP1LP2","ENSG00000250474.1"
"47","ENSG00000224861","YBX1P1","ENSG00000224861.1"
"48","ENSG00000265479","DTX2P1-UPK3BP1-PMS2P11","ENSG00000265479.4"
"49","ENSG00000260361","AC106028.3","ENSG00000260361.1"
"50","ENSG00000279948","AC008895.1","ENSG00000279948.1"
"51","ENSG00000278996","FP671120.4","ENSG00000278996.1"
"52","ENSG00000224043","CCNT2-AS1","ENSG00000224043.6"
"53","ENSG00000198590","C3orf35","ENSG00000198590.10"
"54","ENSG00000234857","HNRNPUL2-BSCL2","ENSG00000234857.2"
"55","ENSG00000257696","AC010203.2","ENSG00000257696.1"
"56","ENSG00000242622","AC092910.3","ENSG00000242622.1"
"57","ENSG00000249700","SRD5A3-AS1","ENSG00000249700.7"
"58","ENSG00000270179","AP002840.2","ENSG00000270179.1"
"59","ENSG00000257086","AP001453.3","ENSG00000257086.1"
"60","ENSG00000267898","AC026803.2","ENSG00000267898.1"
"61","ENSG00000267397","AC090229.1","ENSG00000267397.1"
"62","ENSG00000247595","SPTY2D1OS","ENSG00000247595.2"
"63","ENSG00000280383","Z95331.1","ENSG00000280383.1"
"64","ENSG00000230490","AL139383.1","ENSG00000230490.2"
"65","ENSG00000241549","GUSBP2","ENSG00000241549.7"
"66","ENSG00000214198","TTC41P","ENSG00000214198.6"
"67","ENSG00000228452","AC098484.1","ENSG00000228452.1"
"68","ENSG00000249637","AC008438.1","ENSG00000249637.1"
"69","ENSG00000197744","PTMAP2","ENSG00000197744.5"
"70","ENSG00000257605","MYG1-AS1","ENSG00000257605.2"
"71","ENSG00000273265","CNNM3-DT","ENSG00000273265.1"
"72","ENSG00000166924","NYAP1","ENSG00000166924.7"
"73","ENSG00000227477","STK4-AS1","ENSG00000227477.1"
"74","ENSG00000234636","MED14OS","ENSG00000234636.2"
"75","ENSG00000267940","AC022762.2","ENSG00000267940.1"
"76","ENSG00000270091","AC015726.1","ENSG00000270091.1"
"77","ENSG00000240449","AC005586.1","ENSG00000240449.1"
"78","ENSG00000166793","YPEL4","ENSG00000166793.9"
"79","ENSG00000272277","AL031963.3","ENSG00000272277.1"
"80","ENSG00000254703","SENCR","ENSG00000254703.2"
"81","ENSG00000253540","FAM86HP","ENSG00000253540.4"
"82","ENSG00000272606","AC015982.2","ENSG00000272606.1"
"83","ENSG00000266910","AC008507.1","ENSG00000266910.1"
