"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"1","ENSG00000226266","AC009961.1","ENSG00000226266.5"
"2","ENSG00000260643","AC092718.3","ENSG00000260643.1"
"3","ENSG00000279392","AL158801.5","ENSG00000279392.1"
"4","ENSG00000256968","SNRPEP2","ENSG00000256968.1"
"5","ENSG00000223309","RNU6-722P","ENSG00000223309.1"
"6","ENSG00000257591","ZNF625","ENSG00000257591.4"
"7","ENSG00000279594","AL049780.3","ENSG00000279594.1"
"8","ENSG00000120215","MLANA","ENSG00000120215.8"
"9","ENSG00000249492","AC114956.2","ENSG00000249492.1"
"10","ENSG00000274765","AC018926.1","ENSG00000274765.1"
"11","ENSG00000262185","LINC02861","ENSG00000262185.1"
"12","ENSG00000274929","AL157813.1","ENSG00000274929.1"
"13","ENSG00000240809","AC026877.1","ENSG00000240809.1"
"14","ENSG00000267544","AC007229.1","ENSG00000267544.1"
"15","ENSG00000237118","CYP2F2P","ENSG00000237118.2"
"16","ENSG00000254788","CKLF-CMTM1","ENSG00000254788.5"
"17","ENSG00000276571","AC002550.2","ENSG00000276571.1"
"18","ENSG00000243024","AC012158.1","ENSG00000243024.5"
"19","ENSG00000233654","AC108047.1","ENSG00000233654.1"
"20","ENSG00000218418","AL591135.1","ENSG00000218418.2"
"21","ENSG00000215835","AL596087.1","ENSG00000215835.2"
"22","ENSG00000235400","AC104837.1","ENSG00000235400.1"
"23","ENSG00000260367","AC109460.1","ENSG00000260367.2"
"24","ENSG00000176927","EFCAB5","ENSG00000176927.13"
"25","ENSG00000170482","SLC23A1","ENSG00000170482.15"
"26","ENSG00000207291","RNU6-30P","ENSG00000207291.1"
"27","ENSG00000258561","AL359232.1","ENSG00000258561.1"
"28","ENSG00000149646","CNBD2","ENSG00000149646.11"
"29","ENSG00000244932","AL449212.1","ENSG00000244932.2"
"30","ENSG00000226800","CACTIN-AS1","ENSG00000226800.5"
"31","ENSG00000267319","SELENOKP1","ENSG00000267319.1"
"32","ENSG00000259536","AC091045.1","ENSG00000259536.4"
"33","ENSG00000229873","OGFR-AS1","ENSG00000229873.1"
"34","ENSG00000273261","AC092953.2","ENSG00000273261.1"
"35","ENSG00000278492","AC006213.5","ENSG00000278492.1"
"36","ENSG00000269403","AC008750.7","ENSG00000269403.1"
"37","ENSG00000274400","AC015967.1","ENSG00000274400.1"
"38","ENSG00000269921","AC068620.1","ENSG00000269921.1"
"39","ENSG00000270228","AC079880.1","ENSG00000270228.1"
"40","ENSG00000233254","RPL21P134","ENSG00000233254.1"
"41","ENSG00000260097","SPDYE6","ENSG00000260097.2"
"42","ENSG00000270062","AL606834.2","ENSG00000270062.1"
"43","ENSG00000253785","AC008429.2","ENSG00000253785.1"
"44","ENSG00000233862","AC016907.2","ENSG00000233862.4"
"45","ENSG00000200714","Y_RNA","ENSG00000200714.1"
"46","ENSG00000271396","AC091167.4","ENSG00000271396.1"
"47","ENSG00000275389","AC068790.9","ENSG00000275389.1"
"48","ENSG00000255883","FUNDC2P1","ENSG00000255883.1"
"49","ENSG00000215302","AC127502.1","ENSG00000215302.7"
"50","ENSG00000261118","AC092123.1","ENSG00000261118.1"
"51","ENSG00000244945","RUFY1-AS1","ENSG00000244945.1"
"52","ENSG00000275778","AC018630.2","ENSG00000275778.1"
"53","ENSG00000279148","AC126474.1","ENSG00000279148.1"
"54","ENSG00000272800","AC021851.1","ENSG00000272800.1"
"55","ENSG00000272764","AL596094.1","ENSG00000272764.1"
"56","ENSG00000230724","LINC01001","ENSG00000230724.8"
"57","ENSG00000258325","ITFG2-AS1","ENSG00000258325.2"
"58","ENSG00000260742","AC009962.1","ENSG00000260742.1"
"59","ENSG00000256745","AP002784.2","ENSG00000256745.1"
"60","ENSG00000228606","AL139011.1","ENSG00000228606.1"
"61","ENSG00000199024","MIR103A2","ENSG00000199024.1"
"62","ENSG00000254409","AC087521.3","ENSG00000254409.1"
"63","ENSG00000263766","AC025682.1","ENSG00000263766.4"
"64","ENSG00000277548","AC018926.3","ENSG00000277548.1"
"65","ENSG00000214223","HNRNPA1P10","ENSG00000214223.4"
"66","ENSG00000261251","Z97055.2","ENSG00000261251.1"
"67","ENSG00000176268","CYCSP34","ENSG00000176268.5"
"68","ENSG00000186704","DTX2P1","ENSG00000186704.9"
"69","ENSG00000240898","AC132942.1","ENSG00000240898.1"
"70","ENSG00000247853","AC006064.2","ENSG00000247853.2"
"71","ENSG00000198553","KCNRG","ENSG00000198553.7"
"72","ENSG00000244055","AC007566.1","ENSG00000244055.1"
"73","ENSG00000272787","AC253536.6","ENSG00000272787.1"
"74","ENSG00000149609","C20orf144","ENSG00000149609.5"
"75","ENSG00000256596","AC026358.1","ENSG00000256596.1"
"76","ENSG00000276390","AC004241.3","ENSG00000276390.1"
"77","ENSG00000272037","AP002907.1","ENSG00000272037.1"
"78","ENSG00000275263","AC135048.3","ENSG00000275263.1"
"79","ENSG00000261668","AC093591.2","ENSG00000261668.1"
"80","ENSG00000234917","AC098484.2","ENSG00000234917.2"
"81","ENSG00000259529","AL136295.5","ENSG00000259529.1"
"82","ENSG00000226648","PLCG1-AS1","ENSG00000226648.1"
"83","ENSG00000225137","DYNC1I2P1","ENSG00000225137.1"
"84","ENSG00000232871","SEC1P","ENSG00000232871.7"
"85","ENSG00000280067","AC023818.1","ENSG00000280067.1"
"86","ENSG00000273091","AP000255.1","ENSG00000273091.1"
"87","ENSG00000253309","SERPINE3","ENSG00000253309.5"
"88","ENSG00000250012","AC079848.1","ENSG00000250012.1"
"89","ENSG00000272973","AP000350.5","ENSG00000272973.1"
"90","ENSG00000224358","TMCO1-AS1","ENSG00000224358.1"
"91","ENSG00000239486","AC091390.3","ENSG00000239486.1"
"92","ENSG00000219470","AL355802.1","ENSG00000219470.1"
"93","ENSG00000243224","AC006252.1","ENSG00000243224.1"
"94","ENSG00000179362","HMGN2P46","ENSG00000179362.13"
"95","ENSG00000213881","NPM1P6","ENSG00000213881.3"
"96","ENSG00000267064","UXT-AS1","ENSG00000267064.1"
"97","ENSG00000240288","GHRLOS","ENSG00000240288.6"
"98","ENSG00000232450","AL133517.1","ENSG00000232450.1"
"99","ENSG00000213453","FTH1P3","ENSG00000213453.3"
"100","ENSG00000225400","RAB28P5","ENSG00000225400.1"
"101","ENSG00000095464","PDE6C","ENSG00000095464.9"
"102","ENSG00000181097","LINC02878","ENSG00000181097.5"
"103","ENSG00000227848","SUCLA2-AS1","ENSG00000227848.1"
"104","ENSG00000265678","AC129510.1","ENSG00000265678.1"
"105","ENSG00000213860","RPL21P75","ENSG00000213860.4"
"106","ENSG00000257524","AL157935.2","ENSG00000257524.4"
