,cancer,normal_agony,log_normal_agonies,tumor_agonies,log_tumor_agonies
0,BLCA,2194230.0,14.60134174568114,156254.0,11.959238167270973
1,BRCA,237546.0,12.378116567912993,285822.0,12.563124518422262
2,COAD,854788.0,13.658608763957043,297602.0,12.6035123023486
3,HNSC,320659.0,12.678133532170012,356258.0,12.783410466453212
4,KICH,437811.0,12.989542589383397,245802.0,12.41228161277747
5,KIRC,303602.0,12.623472912097197,316140.0,12.663940432431387
6,KIRP,228028.0,12.337223707413957,142466.0,11.866858653730944
7,LIHC,522422.0,13.166230969380742,560929.0,13.237349616780682
8,LUAD,620982.0,13.33905737498828,467925.0,13.056063305647097
9,LUSC,492963.0,13.108189399498443,521662.0,13.164775147561366
10,PRAD,220328.0,12.302872624123884,347827.0,12.759460508711514
11,STAD,885224.0,13.693595999308439,172478.0,12.05802497108823
12,THCA,536428.0,13.192687628878152,349508.0,12.764281730236666
